sysTime,driveMode,gyroYaw,leftEncoder,rightEncoder,leftEncoderVel,rightEncoderVel,leftMotorPercent,rightMotorPercent,leftMotorVoltage,rightMotorVoltage,leftMotorCurrent,rightMotorCurrent,driveStick,turnStick,leftPathPos,leftPathVel,leftPathAcc,rightPathPos,rightPathVel,rightPathAcc,pathHdg,pathStep0,pathStep1,leftBusVoltage,rightBusVoltage,leftTemp,rightTemp,leftHasResetOccurred,rightHasResetOccurred,leftIsSafetyEnabled,rightIsSafetyEnabled
348558529,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
356547289,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
368363113,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
376538057,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
385432328,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
395744000,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
404881238,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
415688726,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
426998193,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
435752022,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
446917398,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
455357472,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
468077082,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
475276656,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
484069189,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
496006156,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
